Ship,Class,Type,Engineering,Experimental,ShieldStrength,RegenRate,ExpRes,KinRes,ThermRes
Asp Scout,3,Normal,Reinforced,Thermo Block,205.056,1,0.4175,0.501,0.9218
Asp Scout,3,Normal,Reinforced,Multi-weave,211.4005,1,0.405,0.486,0.9719
Asp Scout,3,Normal,Thermal resistant,Fast Charge,153.1887,1.15,0.5075,0.7308,0.609
Asp Scout,3,Normal,Thermal resistant,Force Block,148.5931,1,0.5,0.6624,0.6
Asp Scout,3,Normal,Thermal resistant,Hi-Cap,162.3801,1,0.5,0.72,0.6
Asp Scout,3,Normal,Thermal resistant,Thermo Block,148.5931,1,0.5,0.72,0.552
Asp Scout,3,Normal,Thermal resistant,Multi-weave,153.1887,1,0.485,0.6984,0.582
Asp Scout,3,Normal,Kinetic resistant,Fast Charge,153.1887,1.15,0.5075,0.3045,1.4007
Asp Scout,3,Normal,Kinetic resistant,Force Block,148.5931,1,0.5,0.276,1.38
Asp Scout,3,Normal,Kinetic resistant,Hi-Cap,162.3801,1,0.5,0.3,1.38
Asp Scout,3,Normal,Kinetic resistant,Thermo Block,148.5931,1,0.5,0.3,1.2696
Asp Scout,3,Normal,Kinetic resistant,Multi-weave,153.1887,1,0.485,0.291,1.3386
Asp Scout,3,Prismatic,Reinforced,Fast Charge,261.0805,1.15,0.4238,0.5085,1.017
Asp Scout,3,Prismatic,Reinforced,Force Block,253.248,1,0.4175,0.4609,1.002
Asp Scout,3,Prismatic,Reinforced,Hi-Cap,276.7453,1,0.4175,0.501,1.002
Asp Scout,3,Prismatic,Reinforced,Thermo Block,253.248,1,0.4175,0.501,0.9218
Asp Scout,3,Prismatic,Reinforced,Multi-weave,261.0805,1,0.405,0.486,0.9719
Asp Scout,3,Prismatic,Thermal resistant,Fast Charge,189.1887,1.15,0.5075,0.7308,0.609
Asp Scout,3,Prismatic,Thermal resistant,Force Block,183.5131,1,0.5,0.6624,0.6
Asp Scout,3,Prismatic,Thermal resistant,Hi-Cap,200.5401,1,0.5,0.72,0.6
Asp Scout,3,Prismatic,Thermal resistant,Thermo Block,183.5131,1,0.5,0.72,0.552
Asp Scout,3,Prismatic,Thermal resistant,Multi-weave,189.1887,1,0.485,0.6984,0.582
Asp Scout,3,Prismatic,Kinetic resistant,Fast Charge,189.1887,1.15,0.5075,0.3045,1.4007
Asp Scout,3,Prismatic,Kinetic resistant,Force Block,183.5131,1,0.5,0.276,1.38
Asp Scout,3,Prismatic,Kinetic resistant,Hi-Cap,200.5401,1,0.5,0.3,1.38
Asp Scout,3,Prismatic,Kinetic resistant,Thermo Block,183.5131,1,0.5,0.3,1.2696
Asp Scout,3,Prismatic,Kinetic resistant,Multi-weave,189.1887,1,0.485,0.291,1.3386
Asp Scout,4,Bi-Weave,Reinforced,Fast Charge,226.9628,2.07,0.4238,0.5085,1.017
Asp Scout,4,Bi-Weave,Reinforced,Force Block,220.1491,1.8,0.4175,0.4609,1.002
Asp Scout,4,Bi-Weave,Reinforced,Hi-Cap,240.5782,1.8,0.4175,0.501,1.002
Asp Scout,4,Bi-Weave,Reinforced,Thermo Block,220.1491,1.8,0.4175,0.501,0.9218
Asp Scout,4,Bi-Weave,Reinforced,Multi-weave,226.9628,1.8,0.405,0.486,0.9719
Asp Scout,4,Bi-Weave,Thermal resistant,Fast Charge,164.4658,2.07,0.5075,0.7308,0.609
Asp Scout,4,Bi-Weave,Thermal resistant,Force Block,159.5318,1.8,0.5,0.6624,0.6
Asp Scout,4,Bi-Weave,Thermal resistant,Hi-Cap,174.3338,1.8,0.5,0.72,0.6
Asp Scout,4,Bi-Weave,Thermal resistant,Thermo Block,159.5318,1.8,0.5,0.72,0.552
Asp Scout,4,Bi-Weave,Thermal resistant,Multi-weave,164.4658,1.8,0.485,0.6984,0.582
Asp Scout,4,Bi-Weave,Kinetic resistant,Fast Charge,164.4658,2.07,0.5075,0.3045,1.4007
Asp Scout,4,Bi-Weave,Kinetic resistant,Force Block,159.5318,1.8,0.5,0.276,1.38
Asp Scout,4,Bi-Weave,Kinetic resistant,Hi-Cap,174.3338,1.8,0.5,0.3,1.38
Asp Scout,4,Bi-Weave,Kinetic resistant,Thermo Block,159.5318,1.8,0.5,0.3,1.2696
Asp Scout,4,Bi-Weave,Kinetic resistant,Multi-weave,164.4658,1.8,0.485,0.291,1.3386
Asp Scout,4,Normal,Reinforced,Fast Charge,276.6428,1.15,0.4238,0.5085,1.017
Asp Scout,4,Normal,Reinforced,Force Block,268.3411,1,0.4175,0.4609,1.002
Asp Scout,4,Normal,Reinforced,Hi-Cap,293.2462,1,0.4175,0.501,1.002
Asp Scout,4,Normal,Reinforced,Thermo Block,268.3411,1,0.4175,0.501,0.9218
Asp Scout,4,Normal,Reinforced,Multi-weave,276.6428,1,0.405,0.486,0.9719
Asp Scout,4,Normal,Thermal resistant,Fast Charge,200.4658,1.15,0.5075,0.7308,0.609
Asp Scout,4,Normal,Thermal resistant,Force Block,194.4518,1,0.5,0.6624,0.6
Asp Scout,4,Normal,Thermal resistant,Hi-Cap,212.4938,1,0.5,0.72,0.6
Asp Scout,4,Normal,Thermal resistant,Thermo Block,194.4518,1,0.5,0.72,0.552
Asp Scout,4,Normal,Thermal resistant,Multi-weave,200.4658,1,0.485,0.6984,0.582
Asp Scout,4,Normal,Kinetic resistant,Fast Charge,200.4658,1.15,0.5075,0.3045,1.4007
Asp Scout,4,Normal,Kinetic resistant,Force Block,194.4518,1,0.5,0.276,1.38
Asp Scout,4,Normal,Kinetic resistant,Hi-Cap,212.4938,1,0.5,0.3,1.38
Asp Scout,4,Normal,Kinetic resistant,Thermo Block,194.4518,1,0.5,0.3,1.2696
Asp Scout,4,Normal,Kinetic resistant,Multi-weave,200.4658,1,0.485,0.291,1.3386
Asp Scout,4,Prismatic,Reinforced,Fast Charge,326.3228,1.15,0.4238,0.5085,1.017
Asp Scout,4,Prismatic,Reinforced,Force Block,316.5331,1,0.4175,0.4609,1.002
Asp Scout,4,Prismatic,Reinforced,Hi-Cap,345.9022,1,0.4175,0.501,1.002
Asp Scout,4,Prismatic,Reinforced,Thermo Block,316.5331,1,0.4175,0.501,0.9218
Asp Scout,4,Prismatic,Reinforced,Multi-weave,326.3228,1,0.405,0.486,0.9719
Asp Scout,4,Prismatic,Thermal resistant,Fast Charge,236.4658,1.15,0.5075,0.7308,0.609
Asp Scout,4,Prismatic,Thermal resistant,Force Block,229.3718,1,0.5,0.6624,0.6
Asp Scout,4,Prismatic,Thermal resistant,Hi-Cap,250.6538,1,0.5,0.72,0.6
Asp Scout,4,Prismatic,Thermal resistant,Thermo Block,229.3718,1,0.5,0.72,0.552
Asp Scout,4,Prismatic,Thermal resistant,Multi-weave,236.4658,1,0.485,0.6984,0.582
Asp Scout,4,Prismatic,Kinetic resistant,Fast Charge,236.4658,1.15,0.5075,0.3045,1.4007
Asp Scout,4,Prismatic,Kinetic resistant,Force Block,229.3718,1,0.5,0.276,1.38
Asp Scout,4,Prismatic,Kinetic resistant,Hi-Cap,250.6538,1,0.5,0.3,1.38
Asp Scout,4,Prismatic,Kinetic resistant,Thermo Block,229.3718,1,0.5,0.3,1.2696
Asp Scout,4,Prismatic,Kinetic resistant,Multi-weave,236.4658,1,0.485,0.291,1.3386
Asp Scout,5,Bi-Weave,Reinforced,Fast Charge,231.84,2.53,0.4238,0.5085,1.017
Asp Scout,5,Bi-Weave,Reinforced,Force Block,224.88,2.2,0.4175,0.4609,1.002
Asp Scout,5,Bi-Weave,Reinforced,Hi-Cap,245.748,2.2,0.4175,0.501,1.002
Asp Scout,5,Bi-Weave,Reinforced,Thermo Block,224.88,2.2,0.4175,0.501,0.9218
Asp Scout,5,Bi-Weave,Reinforced,Multi-weave,231.84,2.2,0.405,0.486,0.9719
Asp Scout,5,Bi-Weave,Thermal resistant,Fast Charge,168.0,2.53,0.5075,0.7308,0.609
Asp Scout,5,Bi-Weave,Thermal resistant,Force Block,162.96,2.2,0.5,0.6624,0.6
Asp Scout,5,Bi-Weave,Thermal resistant,Hi-Cap,178.08,2.2,0.5,0.72,0.6
Asp Scout,5,Bi-Weave,Thermal resistant,Thermo Block,162.96,2.2,0.5,0.72,0.552
Asp Scout,5,Bi-Weave,Thermal resistant,Multi-weave,168.0,2.2,0.485,0.6984,0.582
Asp Scout,5,Bi-Weave,Kinetic resistant,Fast Charge,168.0,2.53,0.5075,0.3045,1.4007
Asp Scout,5,Bi-Weave,Kinetic resistant,Force Block,162.96,2.2,0.5,0.276,1.38
Asp Scout,5,Bi-Weave,Kinetic resistant,Hi-Cap,178.08,2.2,0.5,0.3,1.38
Asp Scout,5,Bi-Weave,Kinetic resistant,Thermo Block,162.96,2.2,0.5,0.3,1.2696
Asp Scout,5,Bi-Weave,Kinetic resistant,Multi-weave,168.0,2.2,0.485,0.291,1.3386
Asp Scout,5,Normal,Reinforced,Fast Charge,281.52,1.15,0.4238,0.5085,1.017
Asp Scout,5,Normal,Reinforced,Force Block,273.072,1,0.4175,0.4609,1.002
Asp Scout,5,Normal,Reinforced,Hi-Cap,298.416,1,0.4175,0.501,1.002
Asp Scout,5,Normal,Reinforced,Thermo Block,273.072,1,0.4175,0.501,0.9218
Asp Scout,5,Normal,Reinforced,Multi-weave,281.52,1,0.405,0.486,0.9719
Asp Scout,5,Normal,Thermal resistant,Fast Charge,204.0,1.15,0.5075,0.7308,0.609
Asp Scout,5,Normal,Thermal resistant,Force Block,197.88,1,0.5,0.6624,0.6
Asp Scout,5,Normal,Thermal resistant,Hi-Cap,216.24,1,0.5,0.72,0.6
Asp Scout,5,Normal,Thermal resistant,Thermo Block,197.88,1,0.5,0.72,0.552
Asp Scout,5,Normal,Thermal resistant,Multi-weave,204.0,1,0.485,0.6984,0.582
Asp Scout,5,Normal,Kinetic resistant,Fast Charge,204.0,1.15,0.5075,0.3045,1.4007
Asp Scout,5,Normal,Kinetic resistant,Force Block,197.88,1,0.5,0.276,1.38
Asp Scout,5,Normal,Kinetic resistant,Hi-Cap,216.24,1,0.5,0.3,1.38
Asp Scout,5,Normal,Kinetic resistant,Thermo Block,197.88,1,0.5,0.3,1.2696
Asp Scout,5,Normal,Kinetic resistant,Multi-weave,204.0,1,0.485,0.291,1.3386
Asp Scout,5,Prismatic,Reinforced,Fast Charge,331.2,1.15,0.4238,0.5085,1.017
Asp Scout,5,Prismatic,Reinforced,Force Block,321.264,1,0.4175,0.4609,1.002
Asp Scout,5,Prismatic,Reinforced,Hi-Cap,351.072,1,0.4175,0.501,1.002
Asp Scout,5,Prismatic,Reinforced,Thermo Block,321.264,1,0.4175,0.501,0.9218
Asp Scout,5,Prismatic,Reinforced,Multi-weave,331.2,1,0.405,0.486,0.9719
Asp Scout,5,Prismatic,Thermal resistant,Fast Charge,240.0,1.15,0.5075,0.7308,0.609
Asp Scout,5,Prismatic,Thermal resistant,Force Block,232.8,1,0.5,0.6624,0.6
Asp Scout,5,Prismatic,Thermal resistant,Hi-Cap,254.4,1,0.5,0.72,0.6
Asp Scout,5,Prismatic,Thermal resistant,Thermo Block,232.8,1,0.5,0.72,0.552
Asp Scout,5,Prismatic,Thermal resistant,Multi-weave,240.0,1,0.485,0.6984,0.582
Asp Scout,5,Prismatic,Kinetic resistant,Fast Charge,240.0,1.15,0.5075,0.3045,1.4007
Asp Scout,5,Prismatic,Kinetic resistant,Force Block,232.8,1,0.5,0.276,1.38
Asp Scout,5,Prismatic,Kinetic resistant,Hi-Cap,254.4,1,0.5,0.3,1.38
Asp Scout,5,Prismatic,Kinetic resistant,Thermo Block,232.8,1,0.5,0.3,1.2696
Asp Scout,5,Prismatic,Kinetic resistant,Multi-weave,240.0,1,0.485,0.291,1.3386
Beluga Liner,5,Bi-Weave,Reinforced,Fast Charge,155.3672,2.53,0.4238,0.5085,1.017
Beluga Liner,5,Bi-Weave,Reinforced,Force Block,150.695,2.2,0.4175,0.4609,1.002
Beluga Liner,5,Bi-Weave,Reinforced,Hi-Cap,164.6836,2.2,0.4175,0.501,1.002
Beluga Liner,5,Bi-Weave,Reinforced,Thermo Block,150.695,2.2,0.4175,0.501,0.9218
Beluga Liner,5,Bi-Weave,Reinforced,Multi-weave,155.3672,2.2,0.405,0.486,0.9719
Beluga Liner,5,Bi-Weave,Thermal resistant,Fast Charge,112.5849,2.53,0.5075,0.7308,0.609
Beluga Liner,5,Bi-Weave,Thermal resistant,Force Block,109.2074,2.2,0.5,0.6624,0.6
Beluga Liner,5,Bi-Weave,Thermal resistant,Hi-Cap,119.34,2.2,0.5,0.72,0.6
Beluga Liner,5,Bi-Weave,Thermal resistant,Thermo Block,109.2074,2.2,0.5,0.72,0.552
Beluga Liner,5,Bi-Weave,Thermal resistant,Multi-weave,112.5849,2.2,0.485,0.6984,0.582
Beluga Liner,5,Bi-Weave,Kinetic resistant,Fast Charge,112.5849,2.53,0.5075,0.3045,1.4007
Beluga Liner,5,Bi-Weave,Kinetic resistant,Force Block,109.2074,2.2,0.5,0.276,1.38
Beluga Liner,5,Bi-Weave,Kinetic resistant,Hi-Cap,119.34,2.2,0.5,0.3,1.38
Beluga Liner,5,Bi-Weave,Kinetic resistant,Thermo Block,109.2074,2.2,0.5,0.3,1.2696
Beluga Liner,5,Bi-Weave,Kinetic resistant,Multi-weave,112.5849,2.2,0.485,0.291,1.3386
Beluga Liner,5,Normal,Reinforced,Fast Charge,271.2872,1.15,0.4238,0.5085,1.017
Beluga Liner,5,Normal,Reinforced,Force Block,263.143,1,0.4175,0.4609,1.002
Beluga Liner,5,Normal,Reinforced,Hi-Cap,287.5756,1,0.4175,0.501,1.002
Beluga Liner,5,Normal,Reinforced,Thermo Block,263.143,1,0.4175,0.501,0.9218
Beluga Liner,5,Normal,Reinforced,Multi-weave,271.2872,1,0.405,0.486,0.9719
Beluga Liner,5,Normal,Thermal resistant,Fast Charge,196.5849,1.15,0.5075,0.7308,0.609
Beluga Liner,5,Normal,Thermal resistant,Force Block,190.6874,1,0.5,0.6624,0.6
Beluga Liner,5,Normal,Thermal resistant,Hi-Cap,208.38,1,0.5,0.72,0.6
Beluga Liner,5,Normal,Thermal resistant,Thermo Block,190.6874,1,0.5,0.72,0.552
Beluga Liner,5,Normal,Thermal resistant,Multi-weave,196.5849,1,0.485,0.6984,0.582
Beluga Liner,5,Normal,Kinetic resistant,Fast Charge,196.5849,1.15,0.5075,0.3045,1.4007
Beluga Liner,5,Normal,Kinetic resistant,Force Block,190.6874,1,0.5,0.276,1.38
Beluga Liner,5,Normal,Kinetic resistant,Hi-Cap,208.38,1,0.5,0.3,1.38
Beluga Liner,5,Normal,Kinetic resistant,Thermo Block,190.6874,1,0.5,0.3,1.2696
Beluga Liner,5,Normal,Kinetic resistant,Multi-weave,196.5849,1,0.485,0.291,1.3386
Beluga Liner,5,Prismatic,Reinforced,Fast Charge,387.2072,1.15,0.4238,0.5085,1.017
Beluga Liner,5,Prismatic,Reinforced,Force Block,375.591,1,0.4175,0.4609,1.002
Beluga Liner,5,Prismatic,Reinforced,Hi-Cap,410.4396,1,0.4175,0.501,1.002
Beluga Liner,5,Prismatic,Reinforced,Thermo Block,375.591,1,0.4175,0.501,0.9218
Beluga Liner,5,Prismatic,Reinforced,Multi-weave,387.2072,1,0.405,0.486,0.9719
Beluga Liner,5,Prismatic,Thermal resistant,Fast Charge,280.5849,1.15,0.5075,0.7308,0.609
Beluga Liner,5,Prismatic,Thermal resistant,Force Block,272.1674,1,0.5,0.6624,0.6
Beluga Liner,5,Prismatic,Thermal resistant,Hi-Cap,297.42,1,0.5,0.72,0.6
Beluga Liner,5,Prismatic,Thermal resistant,Thermo Block,272.1674,1,0.5,0.72,0.552
Beluga Liner,5,Prismatic,Thermal resistant,Multi-weave,280.5849,1,0.485,0.6984,0.582
Beluga Liner,5,Prismatic,Kinetic resistant,Fast Charge,280.5849,1.15,0.5075,0.3045,1.4007
Beluga Liner,5,Prismatic,Kinetic resistant,Force Block,272.1674,1,0.5,0.276,1.38
Beluga Liner,5,Prismatic,Kinetic resistant,Hi-Cap,297.42,1,0.5,0.3,1.38
Beluga Liner,5,Prismatic,Kinetic resistant,Thermo Block,272.1674,1,0.5,0.3,1.2696
Beluga Liner,5,Prismatic,Kinetic resistant,Multi-weave,280.5849,1,0.485,0.291,1.3386
Beluga Liner,6,Bi-Weave,Reinforced,Fast Charge,189.854,3.68,0.4238,0.5085,1.017
Beluga Liner,6,Bi-Weave,Reinforced,Force Block,184.1471,3.2,0.4175,0.4609,1.002
Beluga Liner,6,Bi-Weave,Reinforced,Hi-Cap,201.2396,3.2,0.4175,0.501,1.002
Beluga Liner,6,Bi-Weave,Reinforced,Thermo Block,184.1471,3.2,0.4175,0.501,0.9218
Beluga Liner,6,Bi-Weave,Reinforced,Multi-weave,189.854,3.2,0.405,0.486,0.9719
Beluga Liner,6,Bi-Weave,Thermal resistant,Fast Charge,137.5753,3.68,0.5075,0.7308,0.609
Beluga Liner,6,Bi-Weave,Thermal resistant,Force Block,133.4481,3.2,0.5,0.6624,0.6
Beluga Liner,6,Bi-Weave,Thermal resistant,Hi-Cap,145.8298,3.2,0.5,0.72,0.6
Beluga Liner,6,Bi-Weave,Thermal resistant,Thermo Block,133.4481,3.2,0.5,0.72,0.552
Beluga Liner,6,Bi-Weave,Thermal resistant,Multi-weave,137.5753,3.2,0.485,0.6984,0.582
Beluga Liner,6,Bi-Weave,Kinetic resistant,Fast Charge,137.5753,3.68,0.5075,0.3045,1.4007
Beluga Liner,6,Bi-Weave,Kinetic resistant,Force Block,133.4481,3.2,0.5,0.276,1.38
Beluga Liner,6,Bi-Weave,Kinetic resistant,Hi-Cap,145.8298,3.2,0.5,0.3,1.38
Beluga Liner,6,Bi-Weave,Kinetic resistant,Thermo Block,133.4481,3.2,0.5,0.3,1.2696
Beluga Liner,6,Bi-Weave,Kinetic resistant,Multi-weave,137.5753,3.2,0.485,0.291,1.3386
Beluga Liner,6,Normal,Reinforced,Fast Charge,305.774,1.495,0.4238,0.5085,1.017
Beluga Liner,6,Normal,Reinforced,Force Block,296.5951,1.3,0.4175,0.4609,1.002
Beluga Liner,6,Normal,Reinforced,Hi-Cap,324.1316,1.3,0.4175,0.501,1.002
Beluga Liner,6,Normal,Reinforced,Thermo Block,296.5951,1.3,0.4175,0.501,0.9218
Beluga Liner,6,Normal,Reinforced,Multi-weave,305.774,1.3,0.405,0.486,0.9719
Beluga Liner,6,Normal,Thermal resistant,Fast Charge,221.5753,1.495,0.5075,0.7308,0.609
Beluga Liner,6,Normal,Thermal resistant,Force Block,214.9281,1.3,0.5,0.6624,0.6
Beluga Liner,6,Normal,Thermal resistant,Hi-Cap,234.8698,1.3,0.5,0.72,0.6
Beluga Liner,6,Normal,Thermal resistant,Thermo Block,214.9281,1.3,0.5,0.72,0.552
Beluga Liner,6,Normal,Thermal resistant,Multi-weave,221.5753,1.3,0.485,0.6984,0.582
Beluga Liner,6,Normal,Kinetic resistant,Fast Charge,221.5753,1.495,0.5075,0.3045,1.4007
Beluga Liner,6,Normal,Kinetic resistant,Force Block,214.9281,1.3,0.5,0.276,1.38
Beluga Liner,6,Normal,Kinetic resistant,Hi-Cap,234.8698,1.3,0.5,0.3,1.38
Beluga Liner,6,Normal,Kinetic resistant,Thermo Block,214.9281,1.3,0.5,0.3,1.2696
Beluga Liner,6,Normal,Kinetic resistant,Multi-weave,221.5753,1.3,0.485,0.291,1.3386
Beluga Liner,6,Prismatic,Reinforced,Fast Charge,421.694,1.15,0.4238,0.5085,1.017
Beluga Liner,6,Prismatic,Reinforced,Force Block,409.0431,1,0.4175,0.4609,1.002
Beluga Liner,6,Prismatic,Reinforced,Hi-Cap,446.9956,1,0.4175,0.501,1.002
Beluga Liner,6,Prismatic,Reinforced,Thermo Block,409.0431,1,0.4175,0.501,0.9218
Beluga Liner,6,Prismatic,Reinforced,Multi-weave,421.694,1,0.405,0.486,0.9719
Beluga Liner,6,Prismatic,Thermal resistant,Fast Charge,305.5753,1.15,0.5075,0.7308,0.609
Beluga Liner,6,Prismatic,Thermal resistant,Force Block,296.4081,1,0.5,0.6624,0.6
Beluga Liner,6,Prismatic,Thermal resistant,Hi-Cap,323.9098,1,0.5,0.72,0.6
Beluga Liner,6,Prismatic,Thermal resistant,Thermo Block,296.4081,1,0.5,0.72,0.552
Beluga Liner,6,Prismatic,Thermal resistant,Multi-weave,305.5753,1,0.485,0.6984,0.582
Beluga Liner,6,Prismatic,Kinetic resistant,Fast Charge,305.5753,1.15,0.5075,0.3045,1.4007
Beluga Liner,6,Prismatic,Kinetic resistant,Force Block,296.4081,1,0.5,0.276,1.38
Beluga Liner,6,Prismatic,Kinetic resistant,Hi-Cap,323.9098,1,0.5,0.3,1.38
Beluga Liner,6,Prismatic,Kinetic resistant,Thermo Block,296.4081,1,0.5,0.3,1.2696
Beluga Liner,6,Prismatic,Kinetic resistant,Multi-weave,305.5753,1,0.485,0.291,1.3386
Cobra Mk III,3,Bi-Weave,Reinforced,Fast Charge,91.6053,2.07,0.4238,0.5085,1.017
Cobra Mk III,3,Bi-Weave,Reinforced,Force Block,88.8539,1.8,0.4175,0.4609,1.002
Cobra Mk III,3,Bi-Weave,Reinforced,Hi-Cap,97.1,1.8,0.4175,0.501,1.002
Cobra Mk III,3,Bi-Weave,Reinforced,Thermo Block,88.8539,1.8,0.4175,0.501,0.9218
Cobra Mk III,3,Bi-Weave,Reinforced,Multi-weave,91.6053,1.8,0.405,0.486,0.9719
Cobra Mk III,3,Bi-Weave,Thermal resistant,Fast Charge,66.3806,2.07,0.5075,0.7308,0.609
Cobra Mk III,3,Bi-Weave,Thermal resistant,Force Block,64.3892,1.8,0.5,0.6624,0.6
Cobra Mk III,3,Bi-Weave,Thermal resistant,Hi-Cap,70.3635,1.8,0.5,0.72,0.6
Cobra Mk III,3,Bi-Weave,Thermal resistant,Thermo Block,64.3892,1.8,0.5,0.72,0.552
Cobra Mk III,3,Bi-Weave,Thermal resistant,Multi-weave,66.3806,1.8,0.485,0.6984,0.582
Cobra Mk III,3,Bi-Weave,Kinetic resistant,Fast Charge,66.3806,2.07,0.5075,0.3045,1.4007
Cobra Mk III,3,Bi-Weave,Kinetic resistant,Force Block,64.3892,1.8,0.5,0.276,1.38
Cobra Mk III,3,Bi-Weave,Kinetic resistant,Hi-Cap,70.3635,1.8,0.5,0.3,1.38
Cobra Mk III,3,Bi-Weave,Kinetic resistant,Thermo Block,64.3892,1.8,0.5,0.3,1.2696
Cobra Mk III,3,Bi-Weave,Kinetic resistant,Multi-weave,66.3806,1.8,0.485,0.291,1.3386
Cobra Mk III,3,Normal,Reinforced,Fast Charge,124.7253,1.15,0.4238,0.5085,1.017
Cobra Mk III,3,Normal,Reinforced,Force Block,120.9819,1,0.4175,0.4609,1.002
Cobra Mk III,3,Normal,Reinforced,Hi-Cap,132.212,1,0.4175,0.501,1.002
Cobra Mk III,3,Normal,Reinforced,Thermo Block,120.9819,1,0.4175,0.501,0.9218
Cobra Mk III,3,Normal,Reinforced,Multi-weave,124.7253,1,0.405,0.486,0.9719
Cobra Mk III,3,Normal,Thermal resistant,Fast Charge,90.3806,1.15,0.5075,0.7308,0.609
Cobra Mk III,3,Normal,Thermal resistant,Force Block,87.6692,1,0.5,0.6624,0.6
Cobra Mk III,3,Normal,Thermal resistant,Hi-Cap,95.8035,1,0.5,0.72,0.6
Cobra Mk III,3,Normal,Thermal resistant,Thermo Block,87.6692,1,0.5,0.72,0.552
Cobra Mk III,3,Normal,Thermal resistant,Multi-weave,90.3806,1,0.485,0.6984,0.582
Cobra Mk III,3,Normal,Kinetic resistant,Fast Charge,90.3806,1.15,0.5075,0.3045,1.4007
Cobra Mk III,3,Normal,Kinetic resistant,Force Block,87.6692,1,0.5,0.276,1.38
Cobra Mk III,3,Normal,Kinetic resistant,Hi-Cap,95.8035,1,0.5,0.3,1.38
Cobra Mk III,3,Normal,Kinetic resistant,Thermo Block,87.6692,1,0.5,0.3,1.2696
Cobra Mk III,3,Normal,Kinetic resistant,Multi-weave,90.3806,1,0.485,0.291,1.3386
Cobra Mk III,3,Prismatic,Reinforced,Fast Charge,157.8453,1.15,0.4238,0.5085,1.017
Cobra Mk III,3,Prismatic,Reinforced,Force Block,153.1099,1,0.4175,0.4609,1.002
Cobra Mk III,3,Prismatic,Reinforced,Hi-Cap,167.316,1,0.4175,0.501,1.002
Cobra Mk III,3,Prismatic,Reinforced,Thermo Block,153.1099,1,0.4175,0.501,0.9218
Cobra Mk III,3,Prismatic,Reinforced,Multi-weave,157.8453,1,0.405,0.486,0.9719
Cobra Mk III,3,Prismatic,Thermal resistant,Fast Charge,114.3806,1.15,0.5075,0.7308,0.609
Cobra Mk III,3,Prismatic,Thermal resistant,Force Block,110.9492,1,0.5,0.6624,0.6
Cobra Mk III,3,Prismatic,Thermal resistant,Hi-Cap,121.2435,1,0.5,0.72,0.6
Cobra Mk III,3,Prismatic,Thermal resistant,Thermo Block,110.9492,1,0.5,0.72,0.552
Cobra Mk III,3,Prismatic,Thermal resistant,Multi-weave,114.3806,1,0.485,0.6984,0.582
Cobra Mk III,3,Prismatic,Kinetic resistant,Fast Charge,114.3806,1.15,0.5075,0.3045,1.4007
Cobra Mk III,3,Prismatic,Kinetic resistant,Force Block,110.9492,1,0.5,0.276,1.38
Cobra Mk III,3,Prismatic,Kinetic resistant,Hi-Cap,121.2435,1,0.5,0.3,1.38
Cobra Mk III,3,Prismatic,Kinetic resistant,Thermo Block,110.9492,1,0.5,0.3,1.2696
Cobra Mk III,3,Prismatic,Kinetic resistant,Multi-weave,114.3806,1,0.485,0.291,1.3386
Cobra Mk III,4,Bi-Weave,Reinforced,Fast Charge,138.0142,2.07,0.4238,0.5085,1.017
Cobra Mk III,4,Bi-Weave,Reinforced,Force Block,133.8706,1.8,0.4175,0.4609,1.002
Cobra Mk III,4,Bi-Weave,Reinforced,Hi-Cap,146.2934,1.8,0.4175,0.501,1.002
Cobra Mk III,4,Bi-Weave,Reinforced,Thermo Block,133.8706,1.8,0.4175,0.501,0.9218
Cobra Mk III,4,Bi-Weave,Reinforced,Multi-weave,138.0142,1.8,0.405,0.486,0.9719
Cobra Mk III,4,Bi-Weave,Thermal resistant,Fast Charge,100.0103,2.07,0.5075,0.7308,0.609
Cobra Mk III,4,Bi-Weave,Thermal resistant,Force Block,97.01,1.8,0.5,0.6624,0.6
Cobra Mk III,4,Bi-Weave,Thermal resistant,Hi-Cap,106.0109,1.8,0.5,0.72,0.6
Cobra Mk III,4,Bi-Weave,Thermal resistant,Thermo Block,97.01,1.8,0.5,0.72,0.552
Cobra Mk III,4,Bi-Weave,Thermal resistant,Multi-weave,100.0103,1.8,0.485,0.6984,0.582
Cobra Mk III,4,Bi-Weave,Kinetic resistant,Fast Charge,100.0103,2.07,0.5075,0.3045,1.4007
Cobra Mk III,4,Bi-Weave,Kinetic resistant,Force Block,97.01,1.8,0.5,0.276,1.38
Cobra Mk III,4,Bi-Weave,Kinetic resistant,Hi-Cap,106.0109,1.8,0.5,0.3,1.38
Cobra Mk III,4,Bi-Weave,Kinetic resistant,Thermo Block,97.01,1.8,0.5,0.3,1.2696
Cobra Mk III,4,Bi-Weave,Kinetic resistant,Multi-weave,100.0103,1.8,0.485,0.291,1.3386
Cobra Mk III,4,Normal,Reinforced,Fast Charge,171.1342,1.15,0.4238,0.5085,1.017
Cobra Mk III,4,Normal,Reinforced,Force Block,165.9986,1,0.4175,0.4609,1.002
Cobra Mk III,4,Normal,Reinforced,Hi-Cap,181.4054,1,0.4175,0.501,1.002
Cobra Mk III,4,Normal,Reinforced,Thermo Block,165.9986,1,0.4175,0.501,0.9218
Cobra Mk III,4,Normal,Reinforced,Multi-weave,171.1342,1,0.405,0.486,0.9719
